month,total_orders,revenue,customers,revenue_growth_pct,avg_order_value
2016-09,3,252.24,3,,84.08
2016-10,324,59090.48,324,23326.29,182.38
2016-12,1,19.62,1,-99.97,19.62
2017-01,800,138488.04,800,705751.38,173.11
2017-02,1780,291908.01,1780,110.78,163.99
2017-03,2682,449863.60,2682,54.11,167.73
2017-04,2404,417788.03,2404,-7.13,173.79
2017-05,3700,592918.82,3700,41.92,160.25
2017-06,3245,511276.38,3245,-13.77,157.56
2017-07,4026,592382.92,4026,15.86,147.14
2017-08,4331,674396.32,4331,13.84,155.71
2017-09,4285,727762.45,4285,7.91,169.84
2017-10,4631,779677.88,4631,7.13,168.36
2017-11,7544,1194882.80,7544,53.25,158.39
2017-12,5673,878401.48,5673,-26.49,154.84
2018-01,7269,1115004.18,7269,26.94,153.39
2018-02,6728,992463.34,6728,-10.99,147.51
2018-03,7211,1159652.12,7211,16.85,160.82
2018-04,6939,1160785.48,6939,0.10,167.28
2018-05,6873,1153982.15,6873,-0.59,167.90
2018-06,6167,1023880.50,6167,-11.27,166.03
2018-07,6292,1066540.75,6292,4.17,169.51
2018-08,6512,1022425.32,6512,-4.14,157.01
2018-09,16,4439.54,16,-99.57,277.47
2018-10,4,589.67,4,-86.72,147.42
