seller_id,seller_city,seller_state,total_orders,total_revenue,avg_order_value,avg_review_score,products_sold
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1132,229472.63,198.51,4.09,95
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,358,222776.05,543.36,4.06,23
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1806,202999.12,101.04,3.76,399
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,585,194042.03,331.13,4.31,289
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,982,189417.67,137.76,3.33,198
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,336,176431.87,518.92,4.19,186
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1314,162723.37,103.38,4.06,222
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1160,142325.49,121.13,4.20,149
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,140513.14,97.38,3.82,154
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1287,135241.70,90.10,4.02,104
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,521,128111.19,236.37,4.13,189
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1854,123585.82,60.61,3.87,256
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,740,115283.90,143.39,4.14,129
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,565,113628.97,196.59,3.97,57
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,325,112155.53,324.15,3.95,48
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1404,107431.41,55.38,3.97,23
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1706,106555.98,58.58,4.05,37
a1043bafd471dff536d0c462352beb48,ilicinea,MG,718,101901.16,132.34,4.17,6
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1080,94963.20,82.72,4.07,202
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,166,79284.55,453.05,4.43,55
